id	name	population
USA	United States	30268
1	Vietnam	12740
2	Thailand	8007
3	India	6426
4	Brazil	4890
5	Turkey	4694
6	United Kingdom	3240
7	Canada	2483
8	Mexico	2200
9	Romania	2052
10	Indonesia	1876
11	Japan	1779
12	Germany	1636
13	Philippines	1589
14	Russia	1509
15	Netherlands	1465
16	France	1427
17	Poland	1276
18	Taiwan	1093
19	Malaysia	1049
20	Ukraine	993
21	Peru	989
22	Australia	921
23	Spain	907
24	Italy	905
25	Argentina	877
26	Singapore	839
27	Israel	802
28	Ireland	715
29	Pakistan	559
30	South Korea	548
31	Belgium	520
32	United Arab Emirates	508
33	Colombia	491
34	Hong Kong	448
35	Algeria	441
36	Saudi Arabia	430
37	Sweden	400
38	Greece	395
39	China	373
40	Egypt	368
41	Serbia	368
42	Switzerland	358
43	Denmark	357
44	Hungary	330
45	Austria	306
46	Czechia	293
47	Morocco	289
48	Bulgaria	271
49	Kazakhstan	255
50	Bangladesh	253
51	Chile	250
52	Georgia	248
53	Tunisia	236
54	South Africa	224
55	Belarus	207
56	Norway	198
57	Portugal	183
58	Venezuela	175
59	Nigeria	174
60	New Zealand	174
61	Azerbaijan	164
62	Ecuador	161
63	Slovakia	161
64	Macedonia (FYROM)	148
65	Bosnia & Herzegovina	136
66	Jordan	129
67	Sri Lanka	118
68	Dominican Republic	105
69	Finland	104
70	Croatia	102
71	Albania	92
72	Slovenia	91
73	(not set)	90
74	Puerto Rico	83
75	Kosovo	80
76	Qatar	80
77	Lebanon	77
78	Iraq	76
79	Lithuania	72
80	Kuwait	69
81	Estonia	68
82	Kenya	64
83	Latvia	63
84	Mongolia	61
85	Cambodia	60
86	Uruguay	58
87	Guatemala	57
88	Ghana	53
89	Bahrain	51
90	Armenia	50
91	Cyprus	49
92	Costa Rica	46
93	Oman	45
94	Panama	45
95	Tanzania	41
96	Moldova	37
97	Bolivia	35
98	Côte d’Ivoire	35
99	Kyrgyzstan	27
100	El Salvador	26
101	Luxembourg	24
102	Nepal	22
103	Honduras	21
104	Uganda	21
105	Réunion	20
106	Cameroon	20
107	Palestine	19
108	Nicaragua	19
109	Iceland	18
110	Malta	17
111	Senegal	17
112	Trinidad & Tobago	17
113	Myanmar (Burma)	15
114	Libya	14
115	Jamaica	14
116	Uzbekistan	14
117	Mozambique	13
118	Montenegro	13
119	Paraguay	13
120	Barbados	12
121	Congo - Kinshasa	12
122	Yemen	12
123	Ethiopia	12
124	Macau	11
125	Laos	11
126	Maldives	8
127	Sudan	8
128	Namibia	7
129	Gabon	7
130	Brunei	7
131	Guam	7
132	Benin	6
133	Mauritania	6
134	Jersey	6
135	Iran	5
136	Burkina Faso	5
137	Fiji	5
138	Haiti	5
139	Monaco	5
140	St. Lucia	4
141	Swaziland	4
142	Grenada	4
143	Afghanistan	4
144	Zimbabwe	4
145	Angola	4
146	Martinique	4
147	Mali	3
148	Madagascar	3
149	Guinea	3
150	Somalia	3
151	Rwanda	3
152	French Guiana	3
153	Chad	3
154	Guadeloupe	3
155	Faroe Islands	3
156	Curaçao	3
157	Timor-Leste	2
158	Mauritius	2
159	Syria	2
160	Burundi	2
161	Togo	2
162	Mayotte	1
163	Liechtenstein	1
164	New Caledonia	1
165	Aruba	1
166	Gambia	1
167	Central African Republic	1
168	Bhutan	1
169	Niger	1
170	St. Pierre & Miquelon	1
171	Zambia	1
172	Guernsey	1
173	San Marino	1
174	Guyana	1
175	St. Vincent & Grenadines	1
176	St. Kitts & Nevis	1
177	Suriname	1
178	Botswana	1
179	Liberia	1
180	British Virgin Islands	1
181	Lesotho	1
182	Northern Mariana Islands	1
183	Bahamas	1
184	Tajikistan	1
185	Belize	1
186	Andorra	1
187	Turks & Caicos Islands	1
188	Bermuda	1
189	Cayman Islands	1
